"ID_ESTADO","NOMBRE_ESTADO","ID_MUNICIPIO","MUNICIPIO","MEADE","ANAYA","AMLO","MARGARITA","BRONCO","NUM_VOTOS_CAN_NREG","NUM_VOTOS_NULOS","GANADOR"
30,"VERACRUZ",30,"CALCAHUALCO-VER",1554,1961,1539,5,91,5,251,"ANAYA"
10,"DURANGO",13,"MAPIMI-DUR",2904,2302,4979,1,261,1,291,"AMLO"
31,"YUCATÁN",24,"CHUMAYEL-YUC",750,972,573,0,19,0,26,"ANAYA"
26,"SONORA",1,"ACONCHI-SON",493,549,619,3,55,0,56,"AMLO"
21,"PUEBLA",1,"ACAJETE-PUE",2506,4777,19574,7,650,2,949,"AMLO"
20,"OAXACA",173,"SAN JUAN BAUTISTA ATATLAHUCA-OAX",58,152,201,0,0,0,27,"AMLO"
20,"OAXACA",28,"HEROICA CIUDAD DE EJUTLA DE CRESPO-OAX",2260,3454,6351,4,251,29,498,"AMLO"
30,"VERACRUZ",5,"ACULA-VER",1177,821,830,1,15,0,76,"MEADE"
20,"OAXACA",549,"H VILLA TEZOATLAN SEGURA Y LUNA CUNA IND OAX-OAX",1118,1327,2311,1,63,1,287,"AMLO"
15,"MÉXICO",69,"OZUMBA-MEX",2963,1369,9051,8,582,3,314,"AMLO"
12,"GUERRERO",28,"CHILAPA DE ALVAREZ-GRO",12772,11179,23777,1,548,10,3208,"AMLO"
13,"HIDALGO",33,"JUAREZ HIDALGO-HGO",606,425,555,0,14,0,52,"MEADE"
18,"NAYARIT",16,"TECUALA-NAY",2913,2144,11063,1,143,0,504,"AMLO"
30,"VERACRUZ",121,"OTEAPAN-VER",707,872,4252,0,110,0,106,"AMLO"
21,"PUEBLA",159,"TEOTLALCO-PUE",559,374,928,2,22,0,81,"AMLO"
32,"ZACATECAS",12,"GENARO CODINA-ZAC",1039,1308,1618,2,197,0,201,"AMLO"
24,"SAN LUIS POTOSÍ",19,"LAGUNILLAS-SLP",841,529,1657,1,69,0,187,"AMLO"
32,"ZACATECAS",17,"GUADALUPE-ZAC",13662,13258,47732,63,5285,49,1606,"AMLO"
20,"OAXACA",552,"TLALIXTAC DE CABRERA-OAX",550,491,2242,1,173,1,67,"AMLO"
28,"TAMAULIPAS",6,"BUSTAMANTE-TAM",2378,1676,469,0,31,0,55,"MEADE"
13,"HIDALGO",72,"TLANCHINOL-HGO",3273,3486,9521,3,193,1,1197,"AMLO"
16,"MICHOACÁN",64,"PANINDICUARO-MIC",1420,2776,3344,6,353,6,364,"AMLO"
31,"YUCATÁN",105,"YAXKUKUL-YUC",765,252,1040,0,74,0,48,"AMLO"
10,"DURANGO",27,"SAN DIMAS-DUR",1561,1678,3551,2,80,0,182,"AMLO"
28,"TAMAULIPAS",16,"HIDALGO-TAM",841,3608,4533,3,196,4,580,"AMLO"
30,"VERACRUZ",125,"PAPANTLA-VER",9775,19613,43680,25,1844,25,1736,"AMLO"
7,"CHIAPAS",7,"AMATENANGO DEL VALLE-CAM",2554,320,1943,0,28,1,700,"MEADE"
20,"OAXACA",373,"SANTA CATARINA YOSONOTU-OAX",25,80,576,0,2,0,38,"AMLO"
30,"VERACRUZ",120,"OTATITLAN-VER",446,651,1568,0,42,4,106,"AMLO"
8,"CHIHUAHUA",50,"NUEVO CASAS GRANDES-COA",2780,5221,13765,7,3669,44,912,"AMLO"
5,"COAHUILA",15,"JUAREZ-COL",367,327,307,0,17,0,30,"MEADE"
20,"OAXACA",22,"CONCEPCION PAPALO-OAX",328,158,826,0,22,0,72,"AMLO"
7,"CHIAPAS",99,"LA TRINITARIA-CAM",22469,1818,15662,32,252,3,2383,"MEADE"
30,"VERACRUZ",89,"XALAPA-VER",26623,58926,144755,67,17415,130,4474,"AMLO"
28,"TAMAULIPAS",42,"VILLAGRAN-TAM",174,2395,710,0,80,0,250,"ANAYA"
7,"CHIAPAS",8,"ANGEL ALBINO CORZO-CAM",3575,1136,7974,20,161,0,917,"AMLO"
14,"JALISCO",7,"SAN JUANITO DE ESCOBEDO-JAL",815,1563,2176,0,185,0,91,"AMLO"
19,"NUEVO LEÓN",6,"APODACA-NLE",27614,56250,88758,234,45563,224,3862,"AMLO"
20,"OAXACA",385,"SANTA CRUZ XITLA-OAX",320,176,1034,0,15,0,62,"AMLO"
19,"NUEVO LEÓN",47,"SAN NICOLAS DE LOS GARZA-NLE",20334,91361,69229,184,38083,200,3855,"ANAYA"
20,"OAXACA",391,"SANTA INES DE ZARAGOZA-OAX",283,65,233,0,6,0,12,"MEADE"
30,"VERACRUZ",49,"COSCOMATEPEC-VER",5285,6549,8874,2,600,1,900,"AMLO"
20,"OAXACA",539,"VILLA DE TAMAZULAPAM DEL PROGRESO-OAX",549,291,3003,1,143,0,91,"AMLO"
7,"CHIAPAS",59,"OCOSINGO-CAM",31565,6384,44569,29,1069,45,5395,"AMLO"
20,"OAXACA",279,"SAN MIGUEL TECOMATLAN-OAX",51,32,49,0,12,0,9,"MEADE"
27,"TABASCO",12,"MACUSPANA-TAB",5531,4080,65092,26,424,9,1948,"AMLO"
5,"COAHUILA",32,"SAN JUAN DE SABINAS-COL",4810,5923,9175,0,806,17,424,"AMLO"
