ano,estado,municipio,cve_inegi,id_estado,id_municipio,pea,pea_h,pea_m,pei,pei_h,pei_m,pea_ocupada,pea_ocupada_h,pea_ocupada_m,pea_desocupada,pea_desocupada_h,pea_desocupada_m,tpe,tpe_h,tpe_m
2010,Chiapas,angel Albino Corzo,7008,7,8,8641,7290,1351,10266,2048,8218,8497,7175,1322,144,115,29,45.46,77.56,14.06
2010,Chiapas,Arriaga,7009,7,9,15869,11146,4723,14851,3606,11245,15487,10852,4635,382,294,88,51.43,75.19,29.46
2010,Chiapas,Bejucal de Ocampo,7010,7,10,2188,2018,170,2996,583,2413,2154,1984,170,34,34,0,41.95,77.05,6.55
2010,Chiapas,Bella Vista,7011,7,11,5520,5108,412,7889,1438,6451,5465,5063,402,55,45,10,40.81,77.34,5.95
2010,Chiapas,Berriozabal,7012,7,12,15565,11950,3615,14632,3027,11605,15211,11648,3563,354,302,52,51.26,79.3,23.63
2010,Chiapas,Bochil,7013,7,13,9410,7733,1677,11066,2309,8757,8997,7380,1617,413,353,60,45.69,76.67,15.96
2010,Chiapas,El Bosque,7014,7,14,4717,4385,332,7230,1425,5805,4691,4369,322,26,16,10,39.22,74.93,5.38
2010,Chiapas,Cacahoatan,7015,7,15,14232,11203,3029,17808,4265,13543,13634,10667,2967,598,536,62,44.26,72.1,18.23
2010,Chiapas,Catazaja,7016,7,16,5941,5291,650,7373,1493,5880,5903,5258,645,38,33,5,44.2,77.13,9.88
2010,Chiapas,Cintalapa,7017,7,17,28418,22434,5984,29934,6744,23190,27725,21860,5865,693,574,119,48.41,76.33,20.42
2010,Chiapas,Coapilla,7018,7,18,2688,2306,382,3250,627,2623,2671,2290,381,17,16,1,44.97,78.12,12.63
2010,Chiapas,Comitan de Dominguez,7019,7,19,57854,38916,18938,46433,10250,36183,56555,37912,18643,1299,1004,295,55.26,78.77,34.25
2010,Chiapas,La Concordia,7020,7,20,14637,12842,1795,17613,3216,14397,14315,12549,1766,322,293,29,45.09,79.35,11.03
2010,Chiapas,Copainala,7021,7,21,7025,5682,1343,8394,1865,6529,6876,5555,1321,149,127,22,45.18,74.49,16.95
2010,Chiapas,Chalchihuitan,7022,7,22,3751,3268,483,4824,954,3870,3708,3229,479,43,39,4,43.11,76.39,10.92
2010,Chiapas,Chamula,7023,7,23,25029,17203,7826,24318,4778,19540,24481,16685,7796,548,518,30,50.55,78,28.5
2010,Chiapas,Chanal,7024,7,24,2715,2133,582,3468,939,2529,2713,2131,582,2,2,0,43.59,69.03,18.55
2010,Chiapas,Chapultenango,7025,7,25,2099,1858,241,3069,704,2365,2006,1769,237,93,89,4,39.92,71.11,9.11
2010,Chiapas,Chenalho,7026,7,26,11049,8458,2591,11390,2448,8942,10926,8349,2577,123,109,14,48.71,76.72,22.22
2010,Chiapas,Chiapa de Corzo,7027,7,27,33810,25021,8789,31201,6864,24337,32863,24233,8630,947,788,159,51.8,78.1,26.45
2010,Chiapas,Chiapilla,7028,7,28,2034,1696,338,2071,397,1674,2016,1679,337,18,17,1,49.26,80.46,16.72
2010,Chiapas,Chicoasen,7029,7,29,1675,1442,233,2003,389,1614,1577,1350,227,98,92,6,45.31,78.16,12.58
2010,Chiapas,Chicomuselo,7030,7,30,9597,8749,848,12895,2345,10550,9042,8216,826,555,533,22,42.36,78.14,7.4
2010,Chiapas,Chilon,7031,7,31,26714,23510,3204,42353,10395,31958,26007,22907,3100,707,603,104,38.38,68.76,9.05
2010,Chiapas,Escuintla,7032,7,32,9537,7735,1802,11892,2706,9186,9208,7435,1773,329,300,29,44.19,73.53,16.29
2010,Chiapas,Francisco Leon,7033,7,33,1831,1738,93,2854,642,2212,1775,1694,81,56,44,12,38.6,71.85,4
2010,Chiapas,Frontera Comalapa,7034,7,34,22482,18748,3734,26516,4826,21690,21923,18238,3685,559,510,49,45.61,79.01,14.61
2010,Chiapas,Frontera Hidalgo,7035,7,35,4186,3322,864,5200,1220,3980,4107,3255,852,79,67,12,44.4,72.77,17.77
2010,Chiapas,La Grandeza,7036,7,36,1964,1699,265,2837,660,2177,1952,1690,262,12,9,3,40.77,71.69,10.83
2010,Chiapas,Huehuetan,7037,7,37,10876,8704,2172,14033,3306,10727,10682,8543,2139,194,161,33,43.51,72.15,16.79
2010,Chiapas,Huixtan,7038,7,38,6751,5141,1610,7497,1829,5668,6667,5072,1595,84,69,15,47.11,73.34,21.99
2010,Chiapas,Huitiupan,7039,7,39,6432,6124,308,8856,1615,7241,6291,6010,281,141,114,27,41.91,78.85,4.06
2010,Chiapas,Huixtla,7040,7,40,19263,13669,5594,18803,4421,14382,18523,13042,5481,740,627,113,50.38,75.09,27.92
2010,Chiapas,La Independencia,7041,7,41,13829,12790,1039,16461,2023,14438,13663,12632,1031,166,158,8,45.45,85.95,6.68
2010,Chiapas,Ixhuatan,7042,7,42,3176,2761,415,3885,726,3159,3141,2729,412,35,32,3,44.58,78.35,11.52
2010,Chiapas,Ixtacomitan,7043,7,43,3356,2707,649,4020,917,3103,3228,2596,632,128,111,17,45.05,73.66,17.19
2010,Chiapas,Ixtapa,7044,7,44,7631,6695,936,9505,1689,7816,7485,6565,920,146,130,16,44.16,79.31,10.59
2010,Chiapas,Ixtapangajoya,7045,7,45,1690,1506,184,2314,512,1802,1574,1396,178,116,110,6,41.73,73.32,9.22
2010,Chiapas,Jiquipilas,7046,7,46,13002,10970,2032,15835,3221,12614,12808,10801,2007,194,169,25,44.84,76.76,13.82
2010,Chiapas,Jitotol,7047,7,47,5014,4527,487,6871,1445,5426,4969,4492,477,45,35,10,41.92,75.36,8.18
2010,Chiapas,Juarez,7048,7,48,7630,6088,1542,8294,1757,6537,7378,5887,1491,252,201,51,47.43,76.57,18.95
2010,Chiapas,Larrainzar,7049,7,49,5323,4322,1001,6624,1486,5138,5283,4285,998,40,37,3,44.29,73.84,16.23
2010,Chiapas,La Libertad,7050,7,50,1756,1502,254,2194,423,1771,1732,1481,251,24,21,3,44.13,77.3,12.48
2010,Chiapas,Mapastepec,7051,7,51,15442,12096,3346,16876,3641,13235,15050,11795,3255,392,301,91,47.48,76.21,20.09
2010,Chiapas,Las Margaritas,7052,7,52,34264,29465,4799,39540,6562,32978,33862,29148,4714,402,317,85,46.17,81.32,12.63
2010,Chiapas,Mazapa de Madero,7053,7,53,2307,2018,289,3036,592,2444,2245,1967,278,62,51,11,42.88,76.79,10.5
2010,Chiapas,Mazatan,7054,7,54,9360,7479,1881,10665,2326,8339,9209,7367,1842,151,112,39,46.51,75.78,18.34
2010,Chiapas,Metapa,7055,7,55,1707,1252,455,2045,523,1522,1603,1174,429,104,78,26,44.86,69.13,22.82
2010,Chiapas,Mitontic,7056,7,56,1639,1457,182,5017,1712,3305,1578,1398,180,61,59,2,24.34,45.16,5.19
2010,Chiapas,Motozintla,7057,7,57,21797,18165,3632,26200,5258,20942,21291,17762,3529,506,403,103,45.12,76.97,14.7
2010,Chiapas,Nicolas Ruiz,7058,7,58,1247,1148,99,1573,310,1263,1117,1022,95,130,126,4,43.97,78.25,7.23
2010,Chiapas,Ocosingo,7059,7,59,50581,43667,6914,67518,14768,52750,49891,43114,6777,690,553,137,42.57,74.28,11.52
2010,Chiapas,Ocotepec,7060,7,60,2685,2404,281,4595,1134,3461,2556,2282,274,129,122,7,36.66,67.4,7.48
2010,Chiapas,Ocozocoautla de Espinosa,7061,7,61,28821,22921,5900,29517,5671,23846,28472,22632,5840,349,289,60,49.17,79.72,19.75
2010,Chiapas,Ostuacan,7062,7,62,5345,4811,534,6980,1399,5581,5201,4675,526,144,136,8,43.1,77.01,8.68
2010,Chiapas,Osumacinta,7063,7,63,1298,1056,242,1403,277,1126,1248,1009,239,50,47,3,47.91,79.1,17.61
2010,Chiapas,Oxchuc,7064,7,64,11605,10366,1239,16043,3688,12355,11515,10297,1218,90,69,21,41.68,73.33,9.04
2010,Chiapas,Palenque,7065,7,65,36146,28960,7186,41948,9124,32824,35533,28465,7068,613,495,118,46,75.6,17.85
2010,Chiapas,Pantelho,7066,7,66,5161,4730,431,7464,1424,6040,5059,4633,426,102,97,5,40.57,76,6.63
2010,Chiapas,Pantepec,7067,7,67,3112,2677,435,4156,926,3230,3007,2587,420,105,90,15,42.32,73.54,11.72
2010,Chiapas,Pichucalco,7068,7,68,11036,8438,2598,11441,2606,8835,10833,8277,2556,203,161,42,48.83,75.87,22.63
2010,Chiapas,Pijijiapan,7069,7,69,17709,14090,3619,19771,4334,15437,17488,13912,3576,221,178,43,46.86,75.79,18.85
2010,Chiapas,El Porvenir,7070,7,70,3600,3346,254,5253,1010,4243,3590,3339,251,10,7,3,40.44,76.41,5.62
2010,Chiapas,Villa Comaltitlan,7071,7,71,9112,7535,1577,11271,2499,8772,9008,7450,1558,104,85,19,44.45,74.62,15.16
2010,Chiapas,Pueblo Nuevo Solistahuacan,7072,7,72,9038,7680,1358,10996,1956,9040,8934,7591,1343,104,89,15,44.97,79.55,13.01
2010,Chiapas,Rayon,7073,7,73,2807,2268,539,3267,765,2502,2666,2144,522,141,124,17,46.09,74.56,17.68
2010,Chiapas,Reforma,7074,7,74,14411,10845,3566,15446,3636,11810,13251,9823,3428,1160,1022,138,48.01,74.41,23.09
2010,Chiapas,Las Rosas,7075,7,75,9481,7333,2148,8786,1639,7147,9239,7107,2132,242,226,16,51.61,81.32,22.97
2010,Chiapas,Sabanilla,7076,7,76,6849,6414,435,10358,2203,8155,6746,6334,412,103,80,23,39.54,74.04,5.02
2010,Chiapas,Salto de Agua,7077,7,77,15923,14667,1256,23641,4807,18834,15813,14574,1239,110,93,17,40,74.86,6.21
2010,Chiapas,San Cristobal de las Casas,7078,7,78,74452,47091,27361,57847,14817,43030,72589,45790,26799,1863,1301,562,56.01,75.67,38.7
2010,Chiapas,San Fernando,7079,7,79,11797,9712,2085,12056,2271,9785,11447,9386,2061,350,326,24,49.2,80.48,17.51
2010,Chiapas,Siltepec,7080,7,80,10455,9949,506,15074,2924,12150,10437,9937,500,18,12,6,40.57,76.6,3.96
2010,Chiapas,Simojovel,7081,7,81,10968,9540,1428,14365,2838,11527,10857,9446,1411,111,94,17,43.03,76.65,10.95
2010,Chiapas,Sitala,7082,7,82,2971,2827,144,4634,892,3742,2918,2775,143,53,52,1,38.81,75.49,3.68
2010,Chiapas,Socoltenango,7083,7,83,6060,5288,772,6788,1054,5734,5967,5199,768,93,89,4,46.89,82.95,11.79
2010,Chiapas,Solosuchiapa,7084,7,84,2334,2094,240,3326,711,2615,2290,2054,236,44,40,4,40.66,73.29,8.32
2010,Chiapas,Soyalo,7085,7,85,3151,2733,418,3791,740,3051,3054,2646,408,97,87,10,45.12,78.15,11.99
2010,Chiapas,Suchiapa,7086,7,86,7505,5948,1557,8048,1717,6331,7425,5883,1542,80,65,15,48.02,77.07,19.68
2010,Chiapas,Suchiate,7087,7,87,12219,9316,2903,13104,2853,10251,11977,9111,2866,242,205,37,47.96,75.95,21.97
2010,Chiapas,Sunuapa,7088,7,88,703,587,116,902,211,691,672,557,115,31,30,1,43.02,72.11,14.15
2010,Chiapas,Tapachula,7089,7,89,126879,84275,42604,114761,29610,85151,123363,81668,41695,3516,2607,909,52.27,73.6,33.23
2010,Chiapas,Tapalapa,7090,7,90,1195,959,236,1678,420,1258,1132,901,231,63,58,5,41.07,68.7,15.59
2010,Chiapas,Tapilula,7091,7,91,4064,3179,885,4744,1132,3612,3973,3097,876,91,82,9,45.89,73.27,19.6
2010,Chiapas,Tecpatan,7092,7,92,12633,10984,1649,16569,3291,13278,12370,10745,1625,263,239,24,42.99,76.35,10.99
2010,Chiapas,Tenejapa,7093,7,93,11616,9519,2097,14107,2923,11184,11540,9446,2094,76,73,3,44.83,76.02,15.66
2010,Chiapas,Teopisca,7094,7,94,12131,9973,2158,13302,2167,11135,11847,9711,2136,284,262,22,47.38,81.5,16.15
2010,Chiapas,Tila,7096,7,96,20083,18297,1786,28043,5680,22363,19901,18161,1740,182,136,46,41.49,75.87,7.35
